Simulation,Reward,Base Fee,Generated Amount,Network Usage,Total Supply
50,23.153218035327818,12.958733485280945,10.194484550046873,48.33493394112378,100000495.57515045
51,22.898352282621783,11.862536699448535,11.035815583173248,43.95014679779414,100000506.61096603
52,23.458661393646064,14.272468359768027,9.186193033878038,53.58987343907211,100000515.79715906
53,23.644196941619846,15.070470716644502,8.573726224975344,56.781882866578,100000524.37088528
54,23.244369570442426,13.350783098677109,9.893586471765317,49.903132394708436,100000534.26447175
55,24.092735192742573,16.999667495666976,7.093067697075597,64.4986699826679,100000541.35753945
56,22.96362637490174,12.143285483448363,10.820340891453377,45.07314193379345,100000552.17788033
57,23.562135620023078,14.717518795798185,8.844616824224893,55.37007518319273,100000561.02249716
58,23.156146789025026,12.971330275376463,10.184816513648563,48.38532110150585,100000571.20731367
59,24.046256474025128,16.79975902806506,7.246497445960067,63.699036112260245,100000578.45381112
60,24.127196869352858,17.147889760657467,6.979307108695391,65.09155904262987,100000585.43311824
61,23.00078815311795,12.303121088679351,10.697667064438598,45.712484354717404,100000596.1307853
62,23.25588038350437,13.400291972061805,9.855588411442564,50.101167888247225,100000605.98637371
63,23.377354258800747,13.922760252906425,9.454594005894322,52.19104101162571,100000615.44096771
64,23.66784534999229,15.172184301042133,8.495661048950158,57.188737204168525,100000623.93662876
65,23.69185484554192,15.275450948567391,8.416403896974527,57.60180379426957,100000632.35303265
66,22.953215681088594,12.09850830575739,10.854707375331204,44.89403322302956,100000643.20774002
67,22.76976860605918,11.30948862821155,11.46027997784763,41.7379545128462,100000654.66802
68,24.104826022423826,17.051671064188504,7.0531549582353215,64.70668425675402,100000661.72117496
69,23.9121152924232,16.222807709347087,7.689307583076111,61.391230837388356,100000669.41048254
70,23.21860568287933,13.239970679050892,9.978635003828437,49.459882716203566,100000679.38911754
71,23.591643140560706,14.8444328626267,8.747210277934006,55.87773145050679,100000688.13632782
72,22.331141839215363,9.42292188909833,12.908219950117033,34.19168755639332,100000701.04454777
73,23.598096509941502,14.872189290070986,8.725907219870516,55.98875716028394,100000709.77045499
74,23.085110088296634,12.665796078695205,10.419314009601429,47.16318431478082,100000720.189769
75,23.79135679600143,15.703416326887885,8.087940469113546,59.31366530755153,100000728.27770947
76,22.668763358575287,10.875057456237803,11.793705902337484,40.00022982495121,100000740.07141536
77,23.285649906225498,13.528332930002145,9.757316976223352,50.61333172000858,100000749.82873234
78,23.31865811785525,13.670303732710753,9.648354385144497,51.18121493084301,100000759.47708672
79,22.828825838173852,11.563498228704745,11.265327609469107,42.75399291481898,100000770.74241433
80,22.62039514617759,10.667022134097165,11.953373012080425,39.16808853638866,100000782.69578734
81,23.22312857561038,13.259423981119934,9.963704594490448,49.537695924479735,100000792.65949194
82,22.06970853691601,8.298477578133383,13.771230958782628,29.69391031253353,100000806.4307229
83,23.74651881147736,15.510564780547785,8.235954030929577,58.54225912219114,100000814.66667694
84,22.856446085435675,11.682294991121182,11.174151094314492,43.22917996448473,100000825.84082803
85,23.036061628606607,12.454834961748858,10.581226666857749,46.31933984699543,100000836.4220547
86,22.656005982202473,10.820187020225696,11.835818961976777,39.78074808090278,100000848.25787365
87,22.95459420614208,12.104437445772392,10.850156760369687,44.91774978308957,100000859.10803041
88,22.791585663609077,11.40332543487776,11.388260228731317,42.11330173951104,100000870.49629064
89,23.440715398184658,14.195281282514665,9.245434115669992,53.28112513005866,100000879.74172476
90,22.549007947886654,10.359980421017864,12.18902752686879,37.93992168407146,100000891.93075229
91,23.109688718360353,12.771510616603685,10.338178101756668,47.58604246641474,100000902.26893039
92,23.60393916020967,14.897318968643741,8.706620191565928,56.08927587457496,100000910.97555058
93,22.564496485052437,10.42659778517179,12.137898699880648,38.20639114068716,100000923.11344928
94,22.732510411852093,11.149238330546652,11.583272081305442,41.09695332218661,100000934.69672136
95,24.284052384229195,17.822537136469663,6.461515247759532,67.79014854587865,100000941.15823661
